Bericht;Bereich;Modell;Groesse;Run;Szenariotyp;Phase;Schrittart;Aufgabe;Status;Dauer [s];SLM-Zeit [s];Prompt-Tokens;Output-Tokens;Tokens gesamt;Formatreparaturen;Modellneustarts;Abbrueche;Timeouts;Abbruchgrund;Fehlerart;Neustart;Timeout
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_service_restart_finished;intermodel:controlled_phase1:GM_gut_S1->CM_gut_S1;OK;2.194453000000067;;;;;;;;;;;;120.0
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:GM_gut_S1->CM_gut_S1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_attempt_aborted;intermodel:controlled_phase1:GM_gut_S1->CM_gut_S1;;;;;;;;;1;;thinking_repetition;SLMRepetitionError;True;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_service_restart_finished;intermodel:controlled_phase1:GM_gut_S1->CM_gut_S1;OK;2.2232113999998546;;;;;;;;;;;;120.0
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:GM_gut_S1->CM_gut_S1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_attempt_aborted;intermodel:controlled_phase1:GM_gut_S1->CM_gut_S1;;;;;;;;;1;;thinking_repetition;SLMRepetitionError;False;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:GM_gut_S1->BPM_gut_S1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_attempt_aborted;intermodel:controlled_phase1:GM_gut_S1->BPM_gut_S1;;;;;;;;;1;;thinking_repetition;SLMRepetitionError;True;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_service_restart_finished;intermodel:controlled_phase1:GM_gut_S1->BPM_gut_S1;OK;2.21362340000087;;;;;;;;;;;;120.0
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:GM_gut_S1->BPM_gut_S1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_attempt_aborted;intermodel:controlled_phase1:GM_gut_S1->BPM_gut_S1;;;;;;;;;1;;thinking_repetition;SLMRepetitionError;True;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_service_restart_finished;intermodel:controlled_phase1:GM_gut_S1->BPM_gut_S1;OK;2.183838299999479;;;;;;;;;;;;120.0
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:GM_gut_S1->BPM_gut_S1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;format_repair:intermodel:controlled_phase1:GM_gut_S1->BPM_gut_S1:attempt:1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_attempt_aborted;format_repair:intermodel:controlled_phase1:GM_gut_S1->BPM_gut_S1:attempt:1;;;;;;;;;1;;timeout;SLMTimeoutError;True;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_service_restart_finished;format_repair:intermodel:controlled_phase1:GM_gut_S1->BPM_gut_S1:attempt:1;OK;2.208866400000261;;;;;;;;;;;;120.0
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;format_repair:intermodel:controlled_phase1:GM_gut_S1->BPM_gut_S1:attempt:1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_attempt_aborted;format_repair:intermodel:controlled_phase1:GM_gut_S1->BPM_gut_S1:attempt:1;;;;;;;;;1;;timeout;SLMTimeoutError;True;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_service_restart_finished;format_repair:intermodel:controlled_phase1:GM_gut_S1->BPM_gut_S1:attempt:1;OK;2.1813352999997733;;;;;;;;;;;;120.0
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;format_repair:intermodel:controlled_phase1:GM_gut_S1->BPM_gut_S1:attempt:1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:GM_gut_S1->BPM_gut_Overview;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_attempt_aborted;intermodel:controlled_phase1:GM_gut_S1->BPM_gut_Overview;;;;;;;;;1;;thinking_repetition;SLMRepetitionError;True;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_service_restart_finished;intermodel:controlled_phase1:GM_gut_S1->BPM_gut_Overview;OK;2.1810571999994863;;;;;;;;;;;;120.0
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:GM_gut_S1->BPM_gut_Overview;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_attempt_aborted;intermodel:controlled_phase1:GM_gut_S1->BPM_gut_Overview;;;;;;;;;1;;thinking_repetition;SLMRepetitionError;True;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_service_restart_finished;intermodel:controlled_phase1:GM_gut_S1->BPM_gut_Overview;OK;2.2020640000009735;;;;;;;;;;;;120.0
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:GM_gut_S1->BPM_gut_Overview;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:GM_gut_S1->TRM_gut_S1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_attempt_aborted;intermodel:controlled_phase1:GM_gut_S1->TRM_gut_S1;;;;;;;;;1;;thinking_repetition;SLMRepetitionError;True;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_service_restart_finished;intermodel:controlled_phase1:GM_gut_S1->TRM_gut_S1;OK;2.2309456000002683;;;;;;;;;;;;120.0
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:GM_gut_S1->TRM_gut_S1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_attempt_aborted;intermodel:controlled_phase1:GM_gut_S1->TRM_gut_S1;;;;;;;;;1;;thinking_repetition;SLMRepetitionError;True;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_service_restart_finished;intermodel:controlled_phase1:GM_gut_S1->TRM_gut_S1;OK;2.2131348000002617;;;;;;;;;;;;120.0
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:GM_gut_S1->TRM_gut_S1;;;;;;;;;;;;;;
9;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;1;slm_attempt_aborted;intermodel:controlled_phase1:GM_gut_S1->TRM_gut_S1;;;;;;;;;1;;thinking_repetition;SLMRepetitionError;True;
